Elo	Username	W	L	T	Last update
1045	Flareninja	1	0	0	Fri Oct 16 2015 19:06:42 GMT+0000 (UTC)
1000	Nіko Bellic	0	1	0	Fri Oct 16 2015 19:06:42 GMT+0000 (UTC)
