bandi,I am a programmer for this server. I love pasta. I play ubers and uu but im best in ubers. I love trolling and spamming the ubers room

scizornician,derp derpity derp
blakjack,Lets Play A Game Of BlackJack
isawa,Eggplants
mafiosopirata,wow
coolasian,Hello my name is CA the Pokémon trend setter OU metagame I&apos;m from the land of the best weather
thundra,Rapping Gaming Coding
