Punishment	User ID	IPs and alts	Expires
BAN	shinxthejinx	67.173.0.7	1474787462825
BAN	tedtookoo	73.110.37.234	1474788619788
LOCK	austinjs	71.144.32.152	1474435946323
LOCK	jenny20	10.240.0.23	1477017752270	Permalocked as Jenny 2.0
LOCK	jenny20	10.240.0.23	0
